Acronym,ID
CP,672
MOB,507
PIR,961
MOp,985
SSp-bfd,329
MOs,993
AN,1017
ENTl,918
CA1,382
SCm,294
CUL,928
VISp,385
DG,726
SSs,378
RNM,128
SSp-ul,369
PFL,1041
SIM,1007
PAG,795
CA3,463
ACB,56
SSp-tr,361
OT0,754
RSPv,886
AON,159
CENT,920
SUBv,518
TEa,541
LHA,194
PTLp,22
ECT,895
SI,342
SSp-ll,337
PRM,1025
PRNc,1093
ENTm,926
ICe,828
GRN,1048
SSp-un,182305712
SSp-m,345
PRNr,146
ACAd,39
RSPd,879
IRN,136
AUDp,1002
DEC,936
AUDd,1011
AUDv,1018
SCs,302
ACAv,48
LSr,258
AId,104
ZI,797
GU,1057
EPd,952
VISal,402
COAp,647
ORBl,723
GPe,1022
VISam,394
VISC,677
PL,972
ILA,44
COPY,1033
TT,589
SPVI,437
ICc,811
PARN,852
UVU,957
ORBvl,746
MEA,403
BST,351
PERI,922
RT,262
BLA,295
SSp-n,353
FL,1049
AIp,111
SUBd,509
PRE,1084
VPM,733
NOD,968
VISpm,533
SNr,381
CEA,536
VAL,629
MD0,362
MV,202
NDB,596
ICd,820
AIv,119
PAR,843
PO0,1020
PSV,7
LPO,226
TR,566
BMA,319
MDRNv,1107
ORBm,731
APN,215
LD,155
RSPagl,894
VPL,718
MPO,523
CLAu,583
VISl,409
LP,218
VCO,101
AHN,88
PB,867
SOC,398
SPVC,429
POST,1037
NLL,612
VTA,749
MARN,307
RE0,181
PG,931
PH,946
PGRNl,978
MS,564
LSc,250
VISpl,425
TRN,574
VM,685
VII0,661
PCG,898
PAA,788
AAA,23
PVT,149
LGd,170
NTS,651
CA2,423
SPVO,445
CS,679
AOB,151
IO,83
DCO,96
LRN,235
LA0,131
PYR,951
IP,91
COAa,639
FRP,184
SPIV,225
PF,930
LAV,209
V0,621
MDRNd,1098
EPv,966
DMH,830
TU0,614
PPN,1052
VMH,693
MGv,1079
SNc,374
LGv,178
RR,246
CM,599
NLOT,619
AV,255
MA0,298
MM,491
SUV,217
AMd,1096
RN0,214
PRP,169
FN,989
DP0,814
FS,998
CUN,616
GPi,1031
FOTU,944
XII,773
LH,186
PA,780
CL0,575
PVH,38
SPFp,422
ECU,903
ARH,223
NPC,634
IPN,100
DN,846
RCH,173
ENTmv,934
SF,310
MH0,483
RH0,189
MPN,515
PGRNd,970
IMD,59
MGd,1072
STN0,470
SMT,366
PCN,907
SUM,525
AUDpo,1027
CU,711
IA,1105
MGm,1088
MEPO,452
SUT,534
TRS,581
VPMpc,741
SBPV,347
POL,1029
AD,64
PVp,126
NTB,642
DR,872
AMB,135
RM0,206
LDT,162
NOT,628
NI,604
PT0,15
LSv,266
PVi,118
PP,1044
NB,580
SCH,286
SGN,325
MPT,531
AMv,1104
IGL,27
DTN,880
PVpo,133
SAG,271
LING,912
DMX,839
PMv,1004
SH,333
PMd,980
IAD,1113
MEV,460
SPFm,414
AVPV,272
OP0,706
SLD,358
SPA,609
FC,982
CLI,591
AVP,263
PSTN,364
PBG,874
VPLpc,725
RPO,238
BA,292
ISN,106
PPT,1061
LM,210
PPY,1069
x0,765
RPA,230
VTN,757
LC,147
PVHd,63
GR,1039
RO,222
IAM,1120
III,35
ADP,72
SLC,350
B0,280
PS,1109
VLPO,689
TMv,1
AP,8
AT,231
IF,12
SO0,5
LIN,203
EW,975
SubG,321
PR,1077
PAS,859
IG,19
y0,781
NR,177
SG,318
PVa,30
TMd,1126
OV,763
ACVII,576
PST,356
VI0,653
RL,197
IV,115
LT,66
ICB,372
BAC,287
SFO,338
ASO,332
PD,914
