acronym,id,parent_structure_id
root,997,
grey,8,997
CH,567,8
CTX,688,567
CTXpl,695,688
Isocortex,315,695
FRP,184,315
FRP1,68,184
FRP2/3,667,184
FRP5,526157192,184
FRP6a,526157196,184
FRP6b,526322264,184
MO,500,315
MO1,107,500
MO2/3,219,500
MO5,299,500
MO6a,644,500
MO6b,947,500
MOp,985,500
MOp1,320,985
MOp2/3,943,985
MOp5,648,985
MOp6a,844,985
MOp6b,882,985
MOs,993,500
MOs1,656,993
MOs2/3,962,993
MOs5,767,993
MOs6a,1021,993
MOs6b,1085,993
SS,453,315
SS1,12993,453
SS2/3,12994,453
SS4,12995,453
SS5,12996,453
SS6a,12997,453
SS6b,12998,453
SSp,322,453
SSp1,793,322
SSp2/3,346,322
SSp4,865,322
SSp5,921,322
SSp6a,686,322
SSp6b,719,322
SSp-n,353,322
SSp-n1,558,353
SSp-n2/3,838,353
SSp-n4,654,353
SSp-n5,702,353
SSp-n6a,889,353
SSp-n6b,929,353
SSp-bfd,329,322
SSp-bfd1,981,329
SSp-bfd2/3,201,329
SSp-bfd4,1047,329
SSp-bfd5,1070,329
SSp-bfd6a,1038,329
SSp-bfd6b,1062,329
SSp-bfd-VISrll,480149202,329
SSp-bfd-VISrll1,480149206,480149202
SSp-bfd-VISrll2/3,480149210,480149202
SSp-bfd-VISrll4,480149214,480149202
SSp-bfd-VISrll5,480149218,480149202
SSp-bfd-VISrll6a,480149222,480149202
SSp-bfd-VISrll6b,480149226,480149202
SSp-ll,337,322
SSp-ll1,1030,337
SSp-ll2/3,113,337
SSp-ll4,1094,337
SSp-ll5,1128,337
SSp-ll6a,478,337
SSp-ll6b,510,337
SSp-m,345,322
SSp-m1,878,345
SSp-m2/3,657,345
SSp-m4,950,345
SSp-m5,974,345
SSp-m6a,1102,345
SSp-m6b,2,345
SSp-ul,369,322
SSp-ul1,450,369
SSp-ul2/3,854,369
SSp-ul4,577,369
SSp-ul5,625,369
SSp-ul6a,945,369
SSp-ul6b,1026,369
SSp-tr,361,322
SSp-tr1,1006,361
SSp-tr2/3,670,361
SSp-tr4,1086,361
SSp-tr5,1111,361
SSp-tr6a,9,361
SSp-tr6b,461,361
SSp-un,182305712,322
SSp-un1,182305712,182305712
SSp-un2/3,182305712,182305712
SSp-un4,182305712,182305712
SSp-un5,182305712,182305712
SSp-un6a,182305712,182305712
SSp-un6b,182305712,182305712
SSs,378,453
SSs1,873,378
SSs2/3,806,378
SSs4,1035,378
SSs5,1090,378
SSs6a,862,378
SSs6b,893,378
GU,1057,315
GU1,36,1057
GU2/3,180,1057
GU4,148,1057
GU5,187,1057
GU6a,638,1057
GU6b,662,1057
VISC,677,315
VISC1,897,677
VISC2/3,1106,677
