acronym,id,parent_structure_id
root,997,NaN
grey,8,997
CH,567,8
CTX,688,567
CTXpl,695,688
Isocortex,315,695
FRP,184,184
FRP,68,184
FRP,667,184
FRP,526157192,184
FRP,526157196,184
FRP,526322264,184
MO,500,315
MO1,107,500
MO2/3,219,500
MO5,299,500
MO6a,644,500
MO6b,947,500
MOp,985,985
MOp,320,985
MOp,943,985
MOp,648,985
MOp,844,985
MOp,882,985
MOs,993,993
MOs,656,993
MOs,962,993
MOs,767,993
MOs,1021,993
MOs,1085,993
SS,453,315
SS1,12993,453
SS2/3,12994,453
SS4,12995,453
SS5,12996,453
SS6a,12997,453
SS6b,12998,453
SSp,322,453
SSp1,793,322
SSp2/3,346,322
SSp4,865,322
SSp5,921,322
SSp6a,686,322
SSp6b,719,322
SSp-n,353,353
SSp-n,558,353
SSp-n,838,353
SSp-n,654,353
SSp-n,702,353
SSp-n,889,353
SSp-n,929,353
SSp-bfd,329,329
SSp-bfd,981,329
SSp-bfd,201,329
SSp-bfd,1047,329
SSp-bfd,1070,329
SSp-bfd,1038,329
SSp-bfd,1062,329
SSp-bfd,480149202,329
SSp-bfd,480149206,329
SSp-bfd,480149210,329
SSp-bfd,480149214,329
SSp-bfd,480149218,329
SSp-bfd,480149222,329
SSp-bfd,480149226,329
SSp-ll,337,337
SSp-ll,1030,337
SSp-ll,113,337
SSp-ll,1094,337
SSp-ll,1128,337
SSp-ll,478,337
SSp-ll,510,337
SSp-m,345,345
SSp-m,878,345
SSp-m,657,345
SSp-m,950,345
SSp-m,974,345
SSp-m,1102,345
SSp-m,2,345
SSp-ul,369,369
SSp-ul,450,369
SSp-ul,854,369
SSp-ul,577,369
SSp-ul,625,369
SSp-ul,945,369
SSp-ul,1026,369
SSp-tr,361,361
SSp-tr,1006,361
SSp-tr,670,361
SSp-tr,1086,361
SSp-tr,1111,361
SSp-tr,9,361
SSp-tr,461,361
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSp-un,182305712,182305712
SSs,378,378
SSs,873,378
SSs,806,378
SSs,1035,378
SSs,1090,378
SSs,862,378
SSs,893,378
GU,1057,1057
GU,36,1057
GU,180,1057
GU,148,1057
GU,187,1057
GU,638,1057
GU,662,1057
VISC,677,677
VISC,897,677
VISC,1106,677
VISC,1010,677
VISC,1058,677
VISC,857,677
VISC,849,677
AUD,247,315
AUDd,1011,1011
AUDd,527,1011
AUDd,600,1011
AUDd,678,1011
AUDd,252,1011
AUDd,156,1011
AUDd,243,1011
VISl,480149230,409
VISl,480149234,409
VISl,480149238,409
VISl,480149242,409
VISl,480149246,409
VISl,480149250,409
VISl,480149254,409
AUDp,1002,1002
AUDp,735,1002
AUDp,251,1002
AUDp,816,1002
AUDp,847,1002
AUDp,954,1002
AUDp,1005,1002
AUDpo,1027,1027
AUDpo,696,1027
AUDpo,643,1027
AUDpo,759,1027
AUDpo,791,1027
AUDpo,249,1027
AUDpo,456,1027
AUDv,1018,1018
AUDv,959,1018
AUDv,755,1018
AUDv,990,1018
AUDv,1023,1018
AUDv,520,1018
AUDv,598,1018
VIS,669,315
VIS1,801,669
VIS2/3,561,669
VIS4,913,669
VIS5,937,669
VIS6a,457,669
VIS6b,497,669
VISal,402,402
VISal,1074,402
VISal,905,402
VISal,1114,402
VISal,233,402
VISal,601,402
VISal,649,402
VISam,394,394
VISam,281,394
VISam,1066,394
VISam,401,394
VISam,433,394
VISam,1046,394
VISam,441,394
VISl,409,409
VISl,421,409
VISl,973,409
VISl,573,409
VISl,613,409
VISl,74,409
VISl,121,409
VISp,385,385
VISp,593,385
VISp,821,385
VISp,721,385
VISp,778,385
VISp,33,385
VISp,305,385
VISpl,425,425
VISpl,750,425
VISpl,269,425
VISpl,869,425
VISpl,902,425
VISpl,377,425
VISpl,393,425
VISpm,533,533
VISpm,805,533
VISpm,41,533
VISpm,501,533
VISpm,565,533
VISpm,257,533
VISpm,469,533
VISl,312782574,409
VISl,312782578,409
VISl,312782582,409
VISl,312782586,409
VISl,312782590,409
VISl,312782594,409
VISl,312782598,409
VISp,312782628,385
VISp,312782632,385
VISp,312782636,385
